Oil Price,5%,10%,20%
60,4051209.6881866455,7697298.407554626,14179233.90865326
61,4118729.8496564226,7825586.714347203,14415554.473797476
62,4186250.0111262,7953875.02113978,14651875.0389417
63,4253770.172595978,8082163.327932358,14888195.604085922
64,4321290.334065755,8210451.634724935,15124516.169230143
65,4388810.495535533,8338739.941517511,15360836.734374363
66,4456330.65700531,8467028.24831009,15597157.299518585
67,4523850.818475087,8595316.555102667,15833477.864662806
68,4591370.979944864,8723604.861895243,16069798.429807024
69,4658891.141414642,8851893.16868782,16306118.994951248
70,4726411.302884419,8980181.475480398,16542439.560095469
71,4793931.464354197,9108469.782272974,16778760.12523969
72,4861451.625823975,9236758.089065552,17015080.69038391
73,4928971.787293752,9365046.39585813,17251401.255528133
74,4996491.94876353,9493334.702650705,17487721.820672352
75,5064012.110233307,9621623.009443283,17724042.385816574
76,5131532.271703084,9749911.31623586,17960362.950960796
77,5199052.433172861,9878199.623028437,18196683.516105015
78,5266572.594642639,10006487.929821014,18433004.081249237
79,5334092.756112416,10134776.23661359,18669324.646393456
80,5401612.917582194,10263064.543406168,18905645.211537678
81,5469133.079051971,10391352.850198746,19141965.7766819
82,5536653.240521749,10519641.156991322,19378286.34182612
83,5604173.401991527,10647929.4637839,19614606.90697034
84,5671693.563461304,10776217.770576477,19850927.472114563
85,5739213.724931081,10904506.077369055,20087248.03725878
86,5806733.886400858,11032794.38416163,20323568.602403004
87,5874254.047870636,11161082.690954208,20559889.167547222
88,5941774.209340413,11289370.997746786,20796209.732691444
89,6009294.37081019,11417659.304539362,21032530.297835667
90,6076814.532279968,11545947.61133194,21268850.86297989
